Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,813.550255989624,747.688045492413,926.507941011646,966.962032055781,971.633503046666,1076.08735260871,1121.83447077749,1286.94984312675,1333.74726661897,1570.69814517949,1765.53802830615,1744.06062321558,1988.42930381554,2133.24127098647,2224.49074815215,2284.07584789349,2213.1814410479,2335.79586234454,2432.27670083336,2583.48533239877,2561.98176058622,2144.16657002819,2122.99581512663,2201.72290691677
Afghanistan,AFG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,14.0404100418091,..,13.959529876709,19.2143802642822,20.2735099792481,29.523889541626,28.8154907226562,38.930850982666,44.2999496459961,50.4406204223633,52.4474296569824,54.372859954834,54.8833694458008,54.2936515808105,53.1501083374023,53.4350395202637,55.5364303588867,57.3578491210938,..,..,..,..,59.6136016845703
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3977.77186916171,4450.51418504094,4840.33200843758,5169.18875806327,5594.79162347874,6014.31696992585,6752.90148641683,7584.68922249536,8469.24537549543,9030.60955535693,9754.84278665039,10273.4199783271,10608.8448172721,10882.026128835,11787.8549638025,12386.592266883,13055.8417473139,14110.683242211,15055.2807998752,16442.1259393239,16287.6097663649,18212.8702466686,22138.4182857345,24822.3543089995
Albania,ALB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,70.3186492919922,72.4845733642578,74.5389175415039,77.751823425293,78.9801864624023,82.9714279174805,84.3257675170898,86.2188568115234,87.8338394165039,89.3157196044922,93.6818237304688,95.4705276489258,97.6086120605469,102.903209514161,103.321377531566,102.440729325166,99.170755047578,97.5743697537481,98.822387862215,99.01515356567,95.9294474518951,97.665033031442,97.3224714726407,96.1368771236947
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9186.81590342899,9543.52035384959,10080.182500398,10802.7506703127,11431.6856715426,12246.2692243613,12791.3412605973,13320.964120903,13666.2181960534,13651.4472995041,14201.3659906969,14639.8779436268,14441.3293398806,14370.820661674,14694.143827383,13807.3515841478,13437.8460232169,13493.560749484,13727.1266357859,13892.5333446205,12676.5130564294,14496.8654697299,15836.0944370321,16824.4879034627
Algeria,DZA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,64.5954208374023,68.763298034668,72.5830688476562,75.4358673095703,79.6298599243164,81.8563690185547,83.4811935424805,73.517822265625,80.2311401367188,96.3929595947266,100.739776611328,103.184272766113,..,..,..,..,..,..,..,..,..,..,104.550270080566,101.264892578125
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,33458.1181625074,36895.4402454079,38787.0522534918,41147.8806955474,42717.2377735456,44577.8193343081,46852.6583902384,47501.4309292019,44838.9949992176,42522.9945639501,43853.1712385354,46436.1158596161,45503.0444832658,45609.2307224247,48505.6017361608,50733.2390011704,53110.1426263211,53084.8639640903,55244.6554088177,57475.0692842215,52095.8414004627,59332.2029100127,68470.0759483848,71730.668682165
Andorra,AND,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,82.2911224365234,82.7032623291016,79.4815368652344,85.7897186279297,85.0033187866211,82.4481887817383,82.1809616088867,82.6435775756836,85.1478881835938,85.8587875366211,86.870361328125,86.4044036865234,88.978157043457,91.2962188720703,94.6524124145508,95.1090393066406,95.9804306030273,96.2081298828125,97.1500396728516,98.0404205322266,98.5098724365234,99.5086517333984
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3689.53780847244,3801.63313374818,4241.2915015658,4322.19773214742,4770.68802563462,5415.61212018099,6017.8181625251,6727.96328856831,7315.60233056666,7227.56364237588,7411.65460883624,7537.59656403345,8246.36081151609,8504.09532072053,9017.69018162269,8067.48584683018,7766.83787525546,8006.83661497696,8278.36886170469,8572.87895610671,7827.42804325818,8862.28133314521,9588.24129511188,9753.60046763783
Angola,AGO,"School enrollment, secondary (% gross)",SE.SEC.ENRR,13.3690700531006,15.0013399124146,16.1495990753174,..,..,..,..,..,22.7990207672119,24.3320198059082,28.2108038778932,29.6869517832747,..,..,..,..,54.4167987304753,..,..,..,..,53.1351542727131,..,51.4839046246776
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,19318.8965779721,18568.679914651,18812.7827770729,20127.345572169,21628.6836541675,23484.8001051691,26949.4085821346,29850.5675734636,29978.2095861092,26156.9151715965,24071.0297956482,23804.0790107696,23011.7386611366,21760.5232864254,21671.4737856616,20985.4388292177,21320.4375067809,21422.0021576627,24524.2137953887,26550.589844733,22370.0918693813,25745.4958067746,29933.8893698902,31601.7527146877
Antigua and Barbuda,ATG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,80.2067489624023,..,..,..,..,..,..,112.227951049805,122.261581420898,118.682388305664,115.466743469238,116.185371398926,117.228363037109,..,115.270439147949,117.55770111084,..,117.209930419922,121.685249328613,..,..,..,107.799908772997,108.880778588808
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11499.9828002518,11117.754923787,9953.46492880857,10933.3925491594,12117.6797423098,13464.8128470561,14843.5778659642,16455.1129801674,17276.7570886806,16182.0753477677,17847.6110373178,19104.9909405228,19430.4178068112,19928.989490167,19487.4181748868,19899.1499275245,20105.761359796,23385.0740904917,24410.3919063335,23516.8261980886,22393.3479575353,26300.274261175,29808.8073468007,30221.4976888753
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,96.2141189575195,97.6240463256836,96.9965667724609,96.0464477539062,95.4575576782227,93.6376724243164,92.4075775146484,92.1874084472656,93.183219909668,96.4056777954102,99.0709991455078,100.884559631348,102.709991455078,104.540863037109,106.038902282715,107.504867553711,109.598327636719,110.377799987793,109.671241760254,110.460151672363,112.376731872559,115.735778808594,114.14811706543,105.574584297051
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2530.74394657194,2844.36266367009,3282.11706337369,3836.22556768673,4377.22759682551,5172.2189210295,6072.75924479855,7136.75405519953,7827.31666746494,6811.69247959581,7095.21267979009,7624.26772626905,8942.63537897164,9454.87852836557,9736.2349746279,9756.84084836026,10570.2720413936,12066.0043093819,12877.4937543553,14975.7539538157,14706.3173043422,15921.705281964,19161.3700514189,21534.030536117
Armenia,ARM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,86.0512008666992,86.7833099365234,..,..,88.6511611938477,92.0563430786133,95.2676467895508,96.8182601928711,96.5329437255859,102.957763671875,107.732391357422,94.8774032592773,..,86.8721923828125,86.5204010009766,86.442138671875,..,..,83.0249410833595,86.8260633029699,88.5080298201293,91.4853735120921,91.7106609922965,89.4111027634947
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,30245.7069739274,31920.2390732318,31888.5087369598,32507.0843148328,35059.2730975712,35098.7976691425,35937.594655647,37768.5660142352,38904.9992484644,34339.9391559529,33729.5119105028,35324.0720643325,34095.6471714416,35901.6459605583,35657.287197053,35972.8596619304,36117.5352619835,37524.9149203557,39287.0597126122,38543.9072936041,28854.5972997864,35104.7868035374,41758.8957566544,46574.3574197653
Aruba,ABW,"School enrollment, secondary (% gross)",SE.SEC.ENRR,91.5802001953125,97.5565338134766,100.163063049316,101.929069519043,100.940940856934,99.2053527832031,99.8657531738281,106.236473083496,97.0627517700195,97.9976272583008,98.2207412719727,96.633918762207,108.976188659668,..,..,..,..,..,137.829788208008,139.320587158203,135.124725341797,123.625907897949,131.802169799805,..
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,26584.8191965725,27687.7587444103,29080.0439286946,30167.241365541,31814.504982852,33089.7023501837,34890.2248136693,36708.1660067256,37616.0112400482,40434.4890899118,39504.361082784,42152.816179831,43007.2697824131,46123.4750962848,47108.5906459966,46464.5867627929,47446.2103030951,48564.8286592372,50371.233830782,52885.8313816377,54184.1614486854,58327.4146842325,66103.1797066957,72272.7092136683
